Order,HSK Level-Order,Word,Pronunciation,Definition,Soundfile,Stroke count
1,1-1,爱,ai4,to love; affection; to be fond of; to like,chi-2d9d12c4.ogg,10,
2,1-2,八,ba1,eight; 8,chi-5b366cae.ogg,2,
3,1-3,爸爸,ba4 ba5,(informal) father,chi-ee6825ed.ogg,16,
4,1-4,杯子,bei1 zi5,cup; glass,chi-e50493a6.ogg,10,
5,1-5,北京,Bei3 jing1,Beijing; capital of People's Republic of China; Peking; PRC government,zh-beijing.ogg,13,
6,1-6,本,ben3,roots or stems of plants; origin; source; this; the current; root; foundation; basis; classifier for books; periodicals; files etc; originally,chi-98dc0fcc.ogg,5,
7,1-8,不,bu4,(negative prefix); not; no,chi-6c678794.ogg,4,
8,1-7,不客气,bu4 ke4 qi5,you're welcome; impolite; rude; blunt; don't mention it,hsk1-7.ogg,4,
9,1-9,菜,cai4,dish (type of food); vegetables; vegetable; cuisine,chi-c03f977b.ogg,14,
10,1-10,茶,cha2,tea; tea plant,chi-59a26bd1.ogg,12,
11,1-11,吃,chi1,to eat; to have one's meal; to eradicate; to destroy; to absorb; to suffer; to exhaust,chi-99fa617d.ogg,6,
12,1-12,出租车,chu1 zu1 che1,taxi,hsk1-12.ogg,19,
13,1-13,打电话,da3 dian4 hua4,to make a telephone call,hsk1-13.ogg,18,
14,1-14,大,da4,big; huge; large; major; great; wide; deep; oldest; eldest,chi-5593ad17.ogg,3,
15,1-15,的,de5,of; structural particle: used before a noun; linking it to preceding possessive or descriptive attributive,chi-470ae9d0.ogg,8,
16,1-16,点,dian3,drop (of liquid); stain; spot; speck; jot; dot stroke (in Chinese characters); decimal point; point; mark (of degree or level); a place (with certain characteristics); iron bell; o’clock; a little; a bit; some; (point) unit of measurement for type; to touch on briefly; to make clear; to light; to ignite; to kindle; period of time at night (24 minutes) (old); a drip; to dibble; classifier for small indeterminate quantities,chi-aa776535.ogg,9,
17,1-17,电脑,dian4 nao3,computer,zh-diannao.ogg,15,
18,1-18,电视,dian4 shi4,television; TV,chi-7ca55908.ogg,14,
19,1-19,电影,dian4 ying3,movie; film,chi-9eee6de6.ogg,20,
20,1-20,东西,dong1 xi5,thing; stuff; person,chi-dd1348f7.ogg,11,
21,1-21,都,dou1,all; both; entirely (due to) each; even; already,chi-aab469a9.ogg,12,
22,1-22,读,du2,to read; to study; reading of word (i.e. pronunciation),chi-06f1bfed.ogg,10,
23,1-23,对不起,dui4 bu5 qi3,unworthy; to let down; I'm sorry; excuse me; pardon me; if you please; sorry? (please repeat),chi-f392e384.ogg,19,
24,1-24,多,duo1,many; much; a lot of; numerous; multi-,chi-a3300f49.ogg,6,
25,1-25,多少,duo1 shao3,number; amount; somewhat,chi-ce4687dd.ogg,0,
26,1-26,儿子,er2 zi5,son,chi-92b651f7.ogg,0,
27,1-27,二,er4,two; 2; stupid (Beijing dialect),chi-4eca912c.ogg,0,
28,1-28,饭馆,fan4 guan3,restaurant,hsk1-28.ogg,0,
29,1-29,飞机,fei1 ji1,airplane,chi-721d7a5c.ogg,0,
30,1-30,分钟,fen1 zhong1,minute,chi-3adc7855.ogg,0,
31,1-31,高兴,gao1 xing4,happy; glad; willing (to do sth); in a cheerful mood,chi-3532dfb9.ogg,0,
32,1-32,个,ge4,individual; this; that; size; classifier for people or objects in general,chi-73fd9699.ogg,0,
33,1-33,工作,gong1 zuo4,job; work; construction; task,chi-5193ab94.ogg,0,
34,1-34,狗,gou3,dog,cmn-e5f05850.ogg,0,
35,1-35,汉语,Han4 yu3,Chinese language,chi-24063610.ogg,0,
36,1-36,好,hao3,good; well; proper; good to; easy to; very; so; (suffix indicating completion or readiness),chi-ce6bb12f.ogg,0,
37,1-37,喝,he1,to drink; to shout (a command); My goodness!,chi-0e3ba523.ogg,0,
38,1-38,和,he2,and; together with; with; sum; union; peace; harmony; surname He; Japanese related; Taiwan pr. han4,chi-41671672.ogg,0,
39,1-39,很,hen3,(adverb of degree); quite; very; awfully,chi-bdf187de.ogg,0,
40,1-40,后面,hou4 mian5,rear; back; behind; later; afterwards,hsk1-40.ogg,0,
41,1-41,回,hui2,to circle; to go back; to turn around; to answer; to return; to revolve; Hui ethnic group (Chinese Muslims); time; classifier for acts of a play; section or chapter (of a classic book),chi-4168a012.ogg,0,
42,1-42,会,hui4,can; be possible; be able to; will; be likely to; be sure to; to assemble; to meet; to gather; to see; union; group; association,chi-6b4ed51e.ogg,0,
43,1-43,火车站,huo3 che1 zhan4,train station,hsk1-43.ogg,0,
44,1-44,几,ji3,how much; how many; several; a few,chi-2ea0de3d.ogg,0,
